,rAB,rBC,rCD,rAC,rBD,rAD,C1,C2,C3,C4,lg
1223,0.033849837,0.017574614,0.006174502,0.036380068,0.017381531,0.036186985,12.64451037,29.33979017,4.54E-09,1.29E-07,9
1224,0.029493109,0.038637484,0.02046036,0.035805628,0.038637484,0.040920718,14.18334504,12.94080127,16.95311243,274.2335686,9
1225,0.022113022,0.056075873,0.053629352,0.033974104,0.017199017,0.01965602,17.82844409,15.38021075,10.36391359,184.7348756,9
1226,0.015463918,0.013857051,0.026743649,0.02414347,0.018041237,0.028350515,12.08091149,30.43738074,0.027638138,1.994517984,9
1227,0.02480516,0.017896728,0.013928021,0.015735833,0.022993516,0.016684471,30.37188498,17.71447557,6.014432816,0.309879143,9
1228,0.014620114,0.011696139,0.011696139,0.020468065,0.005848189,0.014620114,17.10007786,64.12328772,0.000697135,0.029801922,9
1229,0.019399795,0.5,0.5,0.5,0.021820955,0.026663275,1,1.95635809,1,1.249606728,9
1230,0.5,0.023909657,0.026894549,0.5,0.01495498,0.5,1,27.87482677,1,27.87482677,9
1231,0.083693826,0.08119605,0.050861488,0.007754508,0.030847234,0.053362297,11.56153846,12.2537995,11.27135527,138.814351,9
1232,0.5,0.029535895,0.04767427,0.5,0.045406973,0.5,1,11.29292719,1,11.29292719,9
1233,0.035102052,0.026247044,0.035163851,0.020662234,0.046184384,0.04401886,22.08062132,8.248853633,1.385087134,52.77113455,9
1234,0.031150307,0.025375368,0.040459993,0.030158687,0.03680826,0.041591579,16.67845577,14.13629248,3.687145447,72.65205841,9
1235,0.5,0.014193959,0.011361271,0.5,0.008528582,0.5,1,52.79206972,1,52.79206972,9
1236,0.5,0.01633387,0.013616645,0.5,0.024485547,0.5,1,12.28565892,1,12.28565892,9
1237,0.5,0.027947595,0.017795931,0.5,0.015258015,0.5,1,30.64773186,1,30.64773186,9
1238,0.005117144,0.012769972,0.5,0.012769972,0.5,0.5,39.15435497,1,1,39.15435497,9
1239,0.015305468,0.025575448,0.017902814,0.021265206,0.028132993,0.031495346,25.05556302,16.75714275,14.00067025,547.4234148,9
1240,0.020754641,0.031116703,0.5,0.036297734,0.5,0.5,12.0573121,1,1,12.0573121,9
1241,0.039660161,0.033060307,0.5,0.033060307,0.5,0.5,15.1238766,1,1,15.1238766,9
1242,0.028566792,0.025751345,0.00710143,0.043757892,0.028253036,0.040471481,7.177655276,12.5764312,14.26589531,4.11E-05,9
1243,0.5,0.5,0.031475139,0.01889729,0.5,0.037764063,1.962205419,1,1,1.599418254,9
1244,0.5,0.5,0.5,0.06456589,0.067499237,0.5,1.87086822,1.865001526,1.737129477,3.472999223,9
1245,0.495164132,0.040844887,0.068229577,0.475725419,0.036759187,0.501619273,1.490329545,12.97447169,1.119414932,19.13456739,9
1246,0.054286139,0.028571878,0.022857598,0.042857579,0.034286158,0.042857579,12.89457439,13.12488474,2.302757655,0.003362418,9
1247,0.052201909,0.5,0.5,0.5,0.021530807,0.049134799,1,1.956938387,1,1.52879277,9
1248,0.007557145,0.020151591,0.012594923,0.02267048,0.017632702,0.020151591,16.54181288,29.77413597,0.002504879,0.06215091,9
1249,0.5,0.028940934,0.5,0.5,0.5,0.034723142,1,1,1.872701218,0.000507419,9
1250,0.5,0.014706345,0.005882824,0.5,0.008823998,0.5,1,67.99510421,1,67.99510421,9
1251,0.5,0.023083865,0.017320528,0.5,0.034610539,0.5,1,7.245492626,1,7.245492626,9
1252,0.034311333,0.091208354,0.12419372,0.095572507,0.060403668,0.052941601,4.784689147,6.841683534,1.983375273,3.265759313,9
1253,0.043120051,0.5,0.006184832,0.5,0.5,0.5,1,1,0.002081421,0.002081421,10
1254,0.5,0.014960017,0.5,0.5,0.5,0.024913608,1,1,1.920254454,5.69E-05,10
1255,0.034897107,0.026666667,0.032,0.061555828,0.010666667,0.045563774,0.004269216,28.125,0.003557811,0.133413008,10
1256,0.031204547,0.045382622,0.050645883,0.014233452,0.010583039,0.03647037,22.0153143,18.58768465,18.0453523,397.624859,10
1257,0.5,0.02293406,0.026201635,0.5,0.02946921,0.5,1,16.3639227,1,16.3639227,10
1258,0.5,0.5,0.5,0.013054925,0.020870075,0.5,1.973890151,1.95825985,1.932150621,3.864300622,10
1259,0.5,0.5,0.013398686,0.042808655,0.5,0.034787754,1.91438269,1,1,0.401366593,10
1260,0.5,0.01419874,0.5,0.5,0.5,0.022700193,1,1,1.926203196,3.74E-05,10
1261,0.5,0.5,0.5,0.069356762,0.009932497,0.5,1.861286476,1.980135006,1.841454599,3.682876081,10
1262,0.018282959,0.041860465,0.046511628,0.042372139,0.069767442,0.070291414,11.61016266,4.777777778,0.007232942,0.172765297,10
1263,0.5,0.030087399,0.027084763,0.5,0.033090036,0.5,1,14.77594099,1,14.77594099,10
1264,0.024429831,0.007480709,0.036943257,0.016949495,0.029481141,0.053851087,40.93254207,27.03490094,8.301082176,1106.607187,10
1265,0.007688814,0.5,0.028152927,0.5,0.5,0.5,1,1,0.000634672,0.000634672,10
1266,0.020786315,0.017851926,0.0055062,0.016469376,0.012350266,0.01096772,29.87107628,55.99327374,1.59E-05,0.000891111,10
1267,0.032969411,0.038388427,0.021680217,0.013550136,0.049227593,0.024390244,22.83727123,6.51294564,0.002110914,0.036082429,10
1268,0.045326647,0.027510904,0.012359936,0.032337862,0.015154725,0.030208655,16.23914787,36.34369874,9.130418552,331.8288167,10
1269,0.032154884,0.026738753,0.01076649,0.00541882,0.037502554,0.00534767,31.09791077,0.004670067,15.64861301,7.21E-19,10
1270,0.038468724,0.044668332,0.013873062,0.038822197,0.058480201,0.052650109,12.8947184,0.049374707,0.037475351,0.587745825,10
1271,0.06233808,0.018182278,0.5,0.080519881,0.5,0.5,0.000210348,1,1,0.000210348,10
1272,0.018300638,0.5,0.022868379,0.5,0.5,0.5,1,1,0.001337528,0.001337528,10
1273,0.5,0.048905647,0.025919947,0.5,0.040286009,0.5,1,13.62366624,1,13.62366624,10
1274,0.5,0.01880274,0.5,0.5,0.5,0.021484605,1,1,1.919427291,5.27E-05,10
1275,0.01831217,0.5,0.044430231,0.5,0.5,0.5,1,1,0.006455753,0.006455753,10
1276,0.5,0.026624639,0.047899936,0.5,0.063856409,0.5,1,4.182549727,1,4.182549727,10
1277,0.038701908,0.5,0.015498446,0.5,0.5,0.5,1,1,0.003719442,0.003719442,10
1278,0.04785218,0.028230726,0.005320086,0.059334111,0.025655452,0.054017041,6.199116458,26.28459058,5.396810391,0.209395474,10
1279,0.002976427,0.017857373,0.038690696,0.020833562,0.032738318,0.035714507,0.002242835,17.23061376,0.001035162,0.028984158,10
1280,0.01678988,0.006849315,0.011415525,0.019072985,0.01369863,0.02592042,19.85322936,29.19999999,0.004902986,5.54E-06,10
1281,0.020091376,0.05371694,0.062722651,0.033715473,0.019506229,0.029133619,18.5744475,14.38492517,11.76132748,218.8982656,10
1282,0.020625314,0.041290229,0.020768963,0.020664961,0.035162515,0.014537247,24.21877778,15.68218353,2.02E-12,2.45E-11,10
1283,0.026749442,0.045316524,0.03441639,0.039654026,0.031550173,0.025887675,13.3691475,15.44683831,9.35E-09,1.03E-07,10
1284,0.010811044,0.008108343,0.037838058,0.008108343,0.04054076,0.04054076,61.66488282,8.809602019,0.000291416,0.017970143,10
1285,0.020900072,0.019802666,0.022078389,0.012139945,0.030841605,0.023178884,34.50636715,12.62485474,9.04E-22,2.28E-20,10
1286,0.005952381,0.017857143,0.038273009,0.011904762,0.056115128,0.050162751,56,0.010991262,1.02E-05,0.000569665,10
1287,0.040286009,0.037412797,0.5,0.025919947,0.5,0.5,17.17702928,1,1,17.17702928,10
1288,0.040697893,0.01162814,0.026163017,0.040697893,0.026163017,0.05523277,12.28564817,19.11094607,0.000111957,0.004814045,10
1289,0.010725052,0.018745953,0.5,0.013398686,0.5,0.5,39.9706885,1,1,39.9706885,10
1290,0.016883421,0.5,0.5,0.5,0.019692239,0.025309873,1,1.960615522,1,1.332730818,10
1291,0.018101704,0.012077975,0.5,0.012077975,0.5,0.5,41.39766812,1,1,41.39766812,10
1292,0.030581935,0.018349543,0.024465739,0.036698131,0.018349543,0.042814328,10.89996412,27.24863572,4.087858309,222.7597582,10
1293,0.01915536,0.023020589,0.036021372,0.016559337,0.028323122,0.032156143,29.04590742,18.52243657,7.45959476,324.0400877,10
1294,0.020014634,0.060467023,0.008700291,0.063014043,0.053598894,0.056145914,7.21667821,14.79660902,2.67E-06,2.23E-05,10
1295,0.007932943,0.01452629,0.087293799,0.009263877,0.085027732,0.083474007,57.2535065,6.621304409,2.677766113,184.3392921,10
1296,0.01392804,0.016713553,0.019499065,0.019499065,0.019499065,0.022284578,23.93287818,25.64225452,0.000877882,0.026262588,10
1297,0.011297435,0.5,0.5,0.5,0.011297435,0.016930894,1,1.977405129,1,1.498649358,10
1298,0.022500228,0.022500228,0.01750023,0.025000226,0.015000231,0.01750023,19.75291269,31.74558075,0.000302747,0.006727637,10
1299,0.020672063,0.010336151,0.005168195,0.015504107,0.010336151,0.015504107,36.2805699,48.37390723,0.001115803,0.053975737,10
1300,0.030726705,0.022346824,0.022346824,0.036313291,0.016760237,0.025140118,12.2044545,27.96806052,4.068382982,0.007768953,10
1301,0.011428804,0.008571663,0.031428795,0.008571663,0.034285936,0.034285936,58.33173862,10.60613271,0.00033188,0.019359159,10
1302,0.010297721,0.007727106,0.5,0.007727106,0.5,0.5,64.70728104,1,1,64.70728104,10
1303,0.5,0.5,0.005865574,0.002933025,0.5,0.002933025,1.994133949,1,1,1,10
1304,0.014888569,0.004963015,0.009925792,0.014888569,0.009925792,0.019851346,33.58281156,50.37381401,0.000806663,0.081267402,10
1305,1.19E-07,0.017543975,0.014619999,0.017543975,0.002924095,0.002924095,28.49981314,56.9993939,34.19972929,974.6858943,10
1306,0.008772164,0.014620114,0.008772164,0.02339204,0.005848189,0.014620114,0.000929507,68.39798767,0.001549161,0.052980474,10
1307,0.5,0.5,0.010182182,0.010182182,0.5,0.010182182,1.979635636,1,1,1,10
1308,0.020349066,0.026163017,0.023256041,0.034883943,0.008721164,0.017442091,10.92063657,33.44400868,0.000251901,0.004814066,10
1309,0.008021625,0.002674034,0.01069542,0.01069542,0.008021625,0.016043012,0.005557517,93.49379214,0.001389472,0.259808271,10
1310,0.015789935,0.5,0.5,0.5,0.00526363,0.010526783,1,1.989472741,1,1.333323267,10
1311,0.020771742,0.020771742,0.011869669,0.017804384,0.014837027,0.011869669,27.50986197,36.10650388,0.000483502,0.011638464,10
1312,0.01537485,0.012817461,0.5,0.012817461,0.5,0.5,39.00928627,1,1,39.00928627,10
1313,0.016029541,0.5,0.5,0.5,0.013363037,0.008030029,1,1.973273926,1,0.667301278,10
1314,0.012410137,0.5,0.019838406,0.5,0.5,0.5,1,1,0.000453711,0.000453711,10
1315,0.028328837,0.039660276,0.025495977,0.039660276,0.014164538,0.014164538,12.60707308,25.21402827,0.000165048,0.002080769,10
1316,0.016666897,0.016666897,0.013889121,0.011111344,0.019444674,0.013889121,39.99930383,23.99977112,0.000514968,0.015448839,10
1317,0.020702446,0.027500784,0.025680251,0.014609948,0.027387757,0.025614532,29.50228841,18.26132152,10.96206342,389.4060331,10
1318,0.025621153,0.031073222,0.039247442,0.016082856,0.021437246,0.033795425,25.50552553,20.04167095,13.59860016,437.630838,10
1319,0.00336724,0.010101244,0.026936253,0.006734242,0.023569251,0.020202249,98.99420574,24.74964669,0.001314313,0.065056993,10
1320,0.5,0.5,0.011590506,0.011590506,0.5,0.011590506,1.976818989,1,1,1,10
1321,0.5,0.5,0.039576126,0.016978636,0.5,0.045225499,1.966042729,1,1,1.713734921,10
1322,0.5,0.015736365,0.013118724,0.5,0.018354006,0.5,1,25.43361324,1,25.43361324,10
